iter	RMSE
0	0.2874580805
1	0.2387889801
2	0.2123044464
3	0.190811418
4	0.1775031621
5	0.1732627873
6	0.1694152104
7	0.1633800128
8	0.1538217666
9	0.1491704515
10	0.1469356201
11	0.1450529005
12	0.1436748323
13	0.141028474
14	0.13670264
15	0.135034511
16	0.1325042204
17	0.1317634577
18	0.1313054502
19	0.1309338859
20	0.1288152145
21	0.127164407
22	0.1265962045
23	0.1257830577
24	0.1253525027
25	0.1247740255
26	0.124512155
27	0.1242857483
28	0.1241936162
29	0.1239969857
30	0.1238190317
31	0.1236571449
32	0.1235096118
33	0.1233423625
34	0.1232175524
35	0.1230773007
36	0.1229545305
37	0.1224192322
38	0.1221599707
39	0.1217282072
40	0.1216736043
41	0.1214835894
42	0.1212850218
43	0.121194185
44	0.1211677292
45	0.1211421088
46	0.1211171689
47	0.1210694323
48	0.1210458799
49	0.1210086424
50	0.1209321645
51	0.120910438
52	0.1208732112
53	0.1208179406
54	0.1207777234
55	0.1207585132
56	0.1207057162
57	0.1206877058
58	0.1206703454
59	0.1206534734
60	0.1205088259
61	0.120419878
62	0.1203878696
63	0.120228698
64	0.1201124352
65	0.1200840314
66	0.1200585815
67	0.1198961473
68	0.119812928
69	0.1197348048
70	0.119718762
71	0.1196805831
72	0.1196666668
73	0.1196530902
74	0.1196398425
75	0.1196269149
76	0.1196087173
77	0.1195964551
78	0.1195794922
79	0.1195563604
80	0.1195449887
81	0.1195339301
82	0.1194058384
83	0.1192482538
84	0.1192369548
85	0.1192262419
86	0.1190991956
87	0.1189830709
88	0.1189688935
89	0.1188297677
90	0.1188195044
91	0.1187684914
92	0.1186533662
93	0.1185209744
94	0.1184142379
95	0.1183125194
96	0.1182936032
97	0.1182769304
98	0.1182618783
99	0.1181804947
