iter	Passed	Remaining
0	15	14996
1	15	7946
2	16	5550
3	17	4346
4	18	3636
5	19	3149
6	19	2797
7	20	2539
8	21	2347
9	22	2185
10	22	2054
11	23	1943
12	24	1846
13	25	1765
14	25	1693
15	26	1632
16	27	1581
17	28	1532
18	28	1487
19	29	1447
20	30	1404
21	30	1371
22	31	1345
23	32	1320
24	33	1298
25	34	1274
26	34	1253
27	35	1233
28	36	1219
29	37	1199
30	37	1182
31	38	1166
32	39	1146
33	39	1135
34	40	1125
35	41	1114
36	42	1104
37	43	1094
38	43	1083
39	44	1068
40	45	1057
41	61	1408
42	62	1390
43	63	1373
44	63	1357
45	64	1341
46	65	1326
47	66	1311
48	66	1295
49	67	1279
50	68	1265
51	68	1253
52	69	1241
53	70	1229
54	70	1218
55	71	1205
56	72	1194
57	72	1184
58	73	1172
59	74	1162
60	74	1153
61	75	1142
62	76	1131
63	76	1122
64	77	1114
65	78	1107
66	98	1375
67	99	1364
68	100	1353
69	101	1343
70	101	1333
71	102	1323
72	119	1520
73	120	1508
74	121	1494
75	121	1482
76	122	1469
77	123	1458
78	124	1446
79	124	1434
80	125	1423
81	126	1413
82	126	1402
83	127	1390
84	128	1379
85	128	1370
86	129	1360
87	130	1350
88	146	1502
89	147	1492
90	148	1481
91	149	1471
92	149	1461
93	150	1451
94	151	1445
95	152	1435
96	153	1425
97	153	1417
98	154	1407
99	155	1399
100	156	1389
101	156	1380
102	157	1373
103	158	1365
104	159	1356
105	172	1455
106	173	1446
107	174	1437
108	174	1429
109	175	1419
110	176	1411
111	176	1403
112	192	1511
113	193	1501
114	201	1552
115	202	1543
116	208	1575
117	209	1565
118	210	1556
119	210	1546
120	211	1537
121	212	1527
122	233	1662
123	234	1653
124	234	1644
125	235	1634
126	236	1625
127	237	1617
128	238	1607
129	238	1598
130	239	1589
131	240	1580
132	241	1571
133	241	1562
134	242	1553
135	243	1544
136	243	1536
137	244	1527
138	245	1519
139	246	1511
140	246	1502
141	247	1494
142	247	1486
143	248	1478
144	249	1469
145	249	1462
146	250	1454
147	251	1446
148	252	1439
149	252	1432
150	253	1425
151	254	1418
152	255	1411
153	255	1404
154	256	1398
155	257	1391
156	257	1384
157	258	1378
158	259	1372
159	260	1365
160	260	1359
161	261	1352
162	271	1394
163	286	1459
164	287	1453
165	288	1447
166	288	1440
167	289	1433
168	290	1426
169	290	1420
170	291	1413
171	292	1407
172	293	1401
173	293	1394
174	294	1388
175	295	1382
176	296	1376
177	296	1371
178	297	1365
179	298	1359
180	299	1354
181	300	1348
182	300	1342
183	301	1336
184	301	1330
185	302	1324
186	303	1319
187	304	1314
188	305	1309
189	305	1303
190	306	1298
191	307	1293
192	318	1332
193	319	1327
194	320	1321
195	320	1316
196	321	1311
197	322	1306
198	323	1300
199	323	1295
200	324	1290
201	325	1285
202	326	1280
203	326	1274
204	327	1270
205	328	1265
206	328	1259
207	329	1254
208	330	1249
209	330	1244
210	352	1316
211	353	1312
212	353	1307
213	354	1302
214	355	1297
215	356	1292
216	356	1287
217	357	1282
218	358	1277
219	358	1272
220	359	1268
221	361	1265
222	362	1262
223	363	1258
224	364	1254
225	364	1249
226	365	1244
227	366	1240
228	366	1235
229	367	1230
230	368	1226
231	395	1309
232	396	1305
233	397	1300
234	397	1295
235	398	1291
236	399	1286
237	400	1281
238	401	1276
239	401	1271
240	402	1267
241	403	1262
242	403	1258
243	404	1253
244	425	1311
245	426	1306
246	427	1302
247	428	1298
248	428	1293
249	429	1288
250	430	1284
251	431	1279
252	431	1274
253	432	1270
254	433	1266
255	434	1261
256	434	1256
257	435	1252
258	436	1248
259	436	1243
260	437	1239
261	458	1291
262	459	1287
263	460	1282
264	460	1277
265	461	1273
266	462	1269
267	463	1265
268	464	1261
269	474	1283
270	475	1279
271	476	1275
272	477	1270
273	477	1266
274	478	1261
275	491	1290
276	492	1286
277	493	1281
278	494	1277
279	494	1272
280	495	1267
281	496	1263
282	496	1259
283	497	1254
284	498	1250
285	499	1246
286	499	1241
287	500	1237
288	501	1233
289	502	1229
290	502	1225
291	503	1221
292	504	1217
293	506	1215
294	506	1210
295	507	1207
296	508	1203
297	509	1199
298	509	1195
299	510	1191
300	511	1187
301	512	1183
302	512	1179
303	523	1199
304	524	1195
305	525	1191
306	526	1187
307	526	1183
308	527	1180
309	528	1176
310	529	1172
311	529	1168
312	530	1165
313	531	1161
314	532	1157
315	533	1153
316	533	1150
317	534	1146
318	535	1142
319	535	1138
320	536	1135
321	537	1131
322	538	1128
323	550	1149
324	551	1145
325	552	1141
326	553	1138
327	572	1173
328	573	1169
329	574	1165
330	574	1162
331	575	1158
332	576	1154
333	577	1150
334	590	1172
335	591	1168
336	592	1165
337	592	1161
338	593	1157
339	594	1154
340	595	1150
341	596	1146
342	596	1143
343	616	1175
344	617	1172
345	618	1168
346	619	1165
347	619	1161
348	620	1157
349	621	1154
350	622	1150
351	622	1146
352	623	1142
353	633	1156
354	634	1152
355	635	1149
356	635	1145
357	636	1141
358	637	1138
359	638	1134
360	639	1131
361	639	1127
362	640	1124
363	641	1120
364	642	1117
365	642	1113
366	643	1109
367	644	1106
368	645	1103
369	645	1099
370	646	1095
371	647	1092
372	647	1088
373	648	1085
374	649	1082
375	649	1078
376	650	1075
377	651	1071
378	652	1068
379	652	1065
380	653	1061
381	654	1058
382	655	1055
383	656	1052
