Team,Event,Name,Sex,NOC,Year,City,Sport,Medal
AIN,Men,Ivan Litvinovich,M,AIN,2024,Paris,Trampoline Gymnastics,Gold
AIN,Men's 102kg,Yauheni Tsikhantsou,M,AIN,2024,Paris,Weightlifting,Bronze
AIN,Men's Single Sculls,Yauheni Zalaty,M,AIN,2024,Paris,Rowing,Silver
AIN,Women,Viyaleta Bardzilouskaya,F,AIN,2024,Paris,Trampoline Gymnastics,Silver
Afghanistan,Taekwondo Men's Flyweight,Rohullah Nikpai,M,AFG,2008,Beijing,Taekwondo,Bronze
Albania,Men's Freestyle 65kg,Islam Dudaev,M,ALB,2024,Paris,Wrestling,Bronze
Albania,Men's Freestyle 74kg,Chermen Valiev,M,ALB,2024,Paris,Wrestling,Bronze
Algeria,Women's 66kg,Imane Khelif,F,ALG,2024,Paris,Boxing,Gold
Algeria,Women's Uneven Bars,Kaylia Nemour,F,ALG,2024,Paris,Artistic Gymnastics,Gold
Argentina,Judo Women's Extra-Lightweight,Paula Pareto,F,ARG,2008,Beijing,Judo,Bronze
Argentina,Men's Park,Jose Torres,M,ARG,2024,Paris,Cycling BMX Freestyle,Gold
Argentina,Mixed Multihull,Eugenia Bosco,F,ARG,2024,Paris,Sailing,Silver
Argentina,Taekwondo Men's Welterweight,Sebastian Crismanich,M,ARG,2012,London,Taekwondo,Gold
Argentina,Women,Agustina Albertarrio,F,ARG,2024,Paris,Hockey,Bronze
Argentina,Women Team,Agustina Albertarrio,F,ARG,2020,Tokyo,Hockey,Silver
Armenia,Men's +102kg,Varazdat Lalayan,M,ARM,2024,Paris,Weightlifting,Silver
Armenia,Men's 109kg,Simon Martirosyan,M,ARM,2020,Tokyo,Weightlifting,Silver
Armenia,Men's Greco-Roman 97kg,Artur Aleksanyan,M,ARM,2020,Tokyo,Wrestling,Silver
Armenia,Men's Light (57-63kg),Hovhannes Bachkov,M,ARM,2020,Tokyo,Boxing,Bronze
Armenia,Men's Vault,Artur Davtyan,M,ARM,2020,Tokyo,Artistic Gymnastics,Bronze
Armenia,Weightlifting Men's Heavyweight,Simon Martirosyan,M,ARM,2016,Rio de Janeiro,Weightlifting,Silver
Armenia,Weightlifting Women's Super-Heavyweight,Hripsime Khurshudyan,F,ARM,2012,London,Weightlifting,Bronze
Australia,Cycling Men's Keirin,Gary Neiwand,M,AUS,2000,Sydney,Cycling,Silver
Australia,Cycling Men's Madison,Brett Aitken,M,AUS,2000,Sydney,Cycling,Gold
Australia,Cycling Men's Team Sprint,Sean Eadie,M,AUS,2000,Sydney,Cycling,Bronze
Australia,Cycling Women's 500 metres Time Trial,Michelle Ferris,F,AUS,2000,Sydney,Cycling,Silver
Australia,Cycling Women's Omnium,Annette Edmondson,F,AUS,2012,London,Cycling,Bronze
Australia,Cycling Women's Team Sprint,Kaarle Mcculloch,F,AUS,2012,London,Cycling,Bronze
Australia,Diving Men's Synchronized Springboard,Robert Newbery,M,AUS,2000,Sydney,Diving,Bronze
Australia,Diving Women's Synchronized Platform,Rebecca (-manuel),F,AUS,2000,Sydney,Diving,Bronze
Australia,Eventing Individual,Andrew Hoy,M,AUS,2020,Tokyo,Equestrian,Bronze
