Team,Year,Name,Sex,NOC,City,Sport,Event,Medal
AIN,2024,Ivan Litvinovich,M,AIN,Paris,Trampoline Gymnastics,Men,Gold
AIN,2024,Viyaleta Bardzilouskaya,F,AIN,Paris,Trampoline Gymnastics,Women,Silver
AIN,2024,Diana Shnaider,F,AIN,Paris,Tennis,Women's Doubles,Silver
AIN,2024,Mirra Andreeva,F,AIN,Paris,Tennis,Women's Doubles,Silver
AIN,2024,Yauheni Tsikhantsou,M,AIN,Paris,Weightlifting,Men's 102kg,Bronze
AIN,2024,Yauheni Zalaty,M,AIN,Paris,Rowing,Men's Single Sculls,Silver
Afghanistan,2008,Rohullah Nikpai,M,AFG,Beijing,Taekwondo,Taekwondo Men's Flyweight,Bronze
Albania,2024,Chermen Valiev,M,ALB,Paris,Wrestling,Men's Freestyle 74kg,Bronze
Albania,2024,Islam Dudaev,M,ALB,Paris,Wrestling,Men's Freestyle 65kg,Bronze
Bahrain,2012,Maryam Jamal,F,BRN,London,Athletics,"Athletics Women's 1,500 metres",Bronze
Barbados,2000,Obadele Thompson,M,BAR,Sydney,Athletics,Athletics Men's 100 metres,Bronze
Bonaparte,2008,Heike Kemmer,F,GER,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Botswana,2012,Nijel Amos,M,BOT,London,Athletics,Athletics Men's 800 metres,Silver
Burkina Faso,2020,Fabrice Zango,M,BUR,Tokyo,Athletics,Men's Triple Jump,Bronze
Cabo Verde,2024,de David,M,CPV,Paris,Boxing,Men's 51kg,Bronze
Clearwater,2008,Anne Olst,F,DEN,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
Cyprus,2012,Pavlos Kontides,M,CYP,London,Sailing,Sailing Men's One Person Dinghy,Silver
Czechia,2024,Josef Dostal,M,CZE,Paris,Canoe Sprint,Men's Kayak Single 1000m,Gold
Czechia,2024,Martin Fuksa,M,CZE,Paris,Canoe Sprint,Men's Canoe Single 1000m,Gold
Czechia,2024,Jiri Beran,M,CZE,Paris,Fencing,Men's Г‰pГ©e Team,Bronze
Czechia,2024,Michal Cupr,M,CZE,Paris,Fencing,Men's Г‰pГ©e Team,Bronze
Czechia,2024,Jakub Jurka,M,CZE,Paris,Fencing,Men's Г‰pГ©e Team,Bronze
Czechia,2024,Martin Rubes,M,CZE,Paris,Fencing,Men's Г‰pГ©e Team,Bronze
Czechia,2024,Nikola Ogrodnikova,F,CZE,Paris,Athletics,Women's Javelin Throw,Bronze
Czechia,2024,Tomas Machac,M,CZE,Paris,Tennis,Mixed Doubles,Gold
Czechia,2024,Katerina Siniakova,F,CZE,Paris,Tennis,Mixed Doubles,Gold
CГґte d'Ivoire,2024,Sallah Cisse,M,CIV,Paris,Taekwondo,Men +80kg,Bronze
DPR Korea,2024,Yong Kim,F,PRK,Paris,Table Tennis,Mixed Doubles,Silver
DPR Korea,2024,Sik Ri,M,PRK,Paris,Table Tennis,Mixed Doubles,Silver
DPR Korea,2024,Gyong Choe,F,PRK,Paris,Wrestling,Women's Freestyle 53kg,Bronze
DPR Korea,2024,Ung Ri,M,PRK,Paris,Wrestling,Men's Greco-Roman 60kg,Bronze
DPR Korea,2024,Cholmi Pang,F,PRK,Paris,Boxing,Women's 54kg,Bronze
DPR Korea,2024,Mi Jo,F,PRK,Paris,Diving,Women's Synchronised 10m Platform,Silver
DPR Korea,2024,Rae Kim,F,PRK,Paris,Diving,Women's 10m Platform,Bronze
DPR Korea,2024,Rae Kim,F,PRK,Paris,Diving,Women's Synchronised 10m Platform,Silver
Digby,2008,Nathalie Sayn-wittgenstein-berleburg,F,DEN,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
Dominica,2024,Thea Lafond,F,DMA,Paris,Athletics,Women's Triple Jump,Gold
Don Schufro,2008,Lars Helgstrand,M,DEN,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
EOR,2024,Winner Djankeu,F,EOR,Paris,Boxing,Women's 75kg,Bronze
Elvis Va,2008,Nadine (-biffar-),F,GER,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Eritrea,2004,Zersenay Habtesilase,M,ERI,Athina,Athletics,"Athletics Men's 10,000 metres",Bronze
Fiji,2016,Viliame Mata,M,FIJ,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
