Name,Year,Sex,Team,NOC,City,Sport,Event,Medal
671,2024,F,China,CHN,Paris,Breaking,B-Girls,Bronze
A Luypaert,2020,M,Belgium,BEL,Tokyo,Hockey,Men Team,Gold
A'ja Wilson,2020,F,United States,USA,Tokyo,Basketball,Women Team,Gold
A. West,2008,M,Great Britain,GBR,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
ABNER,2020,M,Brazil,BRA,Tokyo,Football,Men Team,Gold
ADRIANA,2024,F,Brazil,BRA,Paris,Football,Women,Silver
AMI,2024,F,Japan,JPN,Paris,Breaking,B-Girls,Gold
ANGELINA,2024,F,Brazil,BRA,Paris,Football,Women,Silver
ANTONIA,2024,F,Brazil,BRA,Paris,Football,Women,Silver
ANTONY,2020,M,Brazil,BRA,Tokyo,Football,Men Team,Gold
Aaboe Sloth,2024,F,Denmark,DEN,Paris,Equestrian,Dressage Team,Silver
Aage Birch,1968,M,Denmark,DEN,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,Silver
Aagje Linden),1964,F,Netherlands,NED,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Aagje Linden),1964,F,Netherlands,NED,Tokyo,Swimming,Swimming Women's 100 metres Butterfly,Silver
Aaliyah Butler,2024,F,United States,USA,Paris,Athletics,Women's 4 x 400m Relay,Gold
Aaron Armstrong,2008,M,Trinidad and Tobago,TTO,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Aaron Brown,2016,M,Canada,CAN,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Aaron Chia,2020,M,Malaysia,MAS,Tokyo,Badminton,Men's Doubles Team,Bronze
Aaron Egbele,2004,M,Nigeria,NGR,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Aaron Gate,2012,M,New Zealand,NZL,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Aaron Grandidier,2024,M,France,FRA,Paris,Rugby Sevens,Men,Gold
Aaron Mcintosh,2000,M,New Zealand,NZL,Sydney,Sailing,Sailing Men's Windsurfer,Bronze
Aaron Nguimbat,2000,M,Cameroon,CMR,Sydney,Football,Football Men's Football,Gold
Aaron Peirsol,2000,M,United States,USA,Sydney,Swimming,Swimming Men's 200 metres Backstroke,Silver
Aaron Russell,2016,M,United States,USA,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Bronze
Aaron Wolf,2020,M,Japan,JPN,Tokyo,Judo,Men -100 kg,Gold
Aaron Wolf,2020,M,Japan,JPN,Tokyo,Judo,Mixed Team,Silver
Aartje Lasterie,1964,F,Netherlands,NED,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Aas Mmmdov,2004,M,Azerbaijan,AZE,Athina,Boxing,Boxing Men's Bantamweight,Bronze
Aastrand Jorgensen,2020,F,Denmark,DEN,Tokyo,Canoe Sprint,Women's Kayak Single 200m,Bronze
Aastrand Jorgensen,2020,F,Denmark,DEN,Tokyo,Canoe Sprint,Women's Kayak Single 500m,Bronze
Aavo Pikkuus,1976,M,Soviet Union,URS,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Abas Arslanagi,1972,M,Yugoslavia,YUG,Munich,Handball,Handball Men's Handball,Gold
Abbas Jadidi,1996,M,Iran,IRI,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
Abbey Weitzeil,2016,F,United States,USA,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
